PlasmoDBID,GoTerm
PF14_0230,GO:0022625
MAL7P1.75,GO:0046961
PFB0240w,GO:0005634
PF14_0239,GO:0006270
PFB0405w,GO:0005886
PFL0780w,GO:0006072
PFL0935c,GO:0046789
PFE0485w,GO:0048015
PFD0775c,GO:0003723
PFL0400w,GO:0020011
PFF0210w,GO:0016020
PFB0035c,GO:0020036
MAL13P1.405,GO:0016021
PF14_0230,GO:0005840
PF08_0107,GO:0020002
PF10_0229,GO:0005737
PF08_0073,GO:0005524
NA,GO:0020036
PFL1465c,GO:0070011
NA,GO:0016779
PFL0630w,GO:0055114
PFI0585c,GO:0020011
PFE0590w,GO:0000166
NA,GO:0035556
PFL0040c,GO:0020036
PFL1500w,GO:0006886
PF11_0157,GO:0051287
PF10_0329,GO:0006508
PF08_0089,GO:0016020
PFE0950c,GO:0005737
PF10_0328,GO:0006355
PF13_0118,GO:0008233
MAL13P1.54,GO:0005634
NA,GO:0005840
PF10_0209,GO:0030490
MAL13P1.246,GO:0000287
PF07_0025,GO:0016020
PF14_0352,GO:0004748
PFL1225c,GO:0016787
PFL0160w,GO:0005737
PF11_0035,GO:0005737
PFF0840w,GO:0006777
PFI0120c,GO:0004672
PF11_0199,GO:0051082
PFI1835c,GO:0051536
PFE0805w,GO:0008324
PF11_0281,GO:0016311
PF11_0125,GO:0005634
PF13_0131,GO:0008080
PF14_0560,GO:0008360
PFI0610w,GO:0003677
MAL13P1.22,GO:0051103
PF11_0052,GO:0016192
NA,GO:0006412
PF14_0055,GO:0006364
PF13_0312,GO:0020011
PFL1120c,GO:0003918
PFF1415c,GO:0020011
PF10_0187,GO:0003735
PF11_0218,GO:0016459
PFL2325c,GO:0016021
NA,GO:0003677
PF11_0165,GO:0005515
PFF0573c,GO:0022625
PFB0725c,GO:0008270
PFC0790w,GO:0016021
MAL7P1.147,GO:0006511
PF13_0247,GO:0016020
PFF1240w,GO:0016779
PF10_0403,GO:0020036
PF14_0694,GO:0045454
PFC0710w-a,GO:0000287
PFC0710w-b,GO:0000287
PF14_0206,GO:0004252
PFB0770c,GO:0005319
PFL2130w,GO:0005634
PF11_0062,GO:0051276
PFE1410c,GO:0005737
PFL0285w,GO:0004416
PFE0855c,GO:0005737
PF14_0178,GO:0006511
PF13_0273,GO:0003677
MAL13P1.183,GO:0009055
PFL0770w,GO:0004828
PFI1590c,GO:0015031
PF14_0479,GO:0008270
PF13_0141,GO:0019752
PFE1125w,GO:0006412
PFD1185w,GO:0005737
PF14_0242,GO:0005634
PFE1155c,GO:0004222
PFL0010c,GO:0020033
PFB1050w,GO:0020033
PF10_0294,GO:0008380
PFL1960w,GO:0020002
MAL8P1.205,GO:0005576
PF14_0527,GO:0048256
PF10_0355,GO:0046812
PF07_0051,GO:0020035
PF11_0107,GO:0005509
PFC0305w,GO:0008017
PFL0665c,GO:0006351
PFC0920w,GO:0005634
PF14_0602,GO:0006260
PFI1315c,GO:0007275
PF11_0202,GO:0006886
PFI1463w,GO:0016021
PFL0795c,GO:0044310
NA,GO:0016192
PF10_0030,GO:0020011
PFI0880c,GO:0005515
NA,GO:0005840
PFL1430c,GO:0020011
PFF1590w,GO:0020035
PFL1740w,GO:0005794
PF10_0283,GO:0070258
PFF0740c,GO:0005789
PF13_0344,GO:0020011
MAL7P1.92,GO:0030522
PFC0255c,GO:0006511
PFB1055c,GO:0020002
PF07_0051,GO:0016337
PF13_0005,GO:0020033
PF11_0356,GO:0006886
PFD0625c,GO:0050839
PF10_0254,GO:0016459
PF14_0598,GO:0005829
PFF1570w,GO:0020033
PF11_0290,GO:0005737
PF13_0044,GO:0046872
PF11_0065,GO:0003735
PF08_0106,GO:0020035
PFL1410c,GO:0006810
PFI1805w,GO:0020003
PFL1550w,GO:0048037
PF10_0272,GO:0003735
MAL8P1.76,GO:0006281
PFC0275w,GO:0009331
PF14_0038,GO:0020037
PFE0005w,GO:0020013
PFD0040c,GO:0020002
MAL13P1.344,GO:0005524
PF13_0119,GO:0005515
PF11_0147,GO:0006468
PF08_0126,GO:0003684
PF10_0057,GO:0005737
PF13_0065,GO:0046034
PF14_0443,GO:0007067
PF14_0296,GO:0020011
PF14_0283,GO:0005737
PFL1170w,GO:0005737
PFL0065w,GO:0020036
NA,GO:0008270
PFB1050w,GO:0020003
PFB0210c,GO:0008646
PF14_0156,GO:0008649
PF07_0057,GO:0003677
MAL13P1.203,GO:0016020
NA,GO:0003899
MAL13P1.51,GO:0005622
PF14_0692,GO:0004177
PF14_0113,GO:0006397
PFL1455w,GO:0005886
PFF1377w,GO:0016020
PFL2070w,GO:0008565
PF11_0445,GO:0003899
PFE0875c,GO:0020011
PF14_0648,GO:0005516
MAL7P1.212,GO:0009405
PFL2250c,GO:0004674
PF08_0019,GO:0005080
PF14_0368,GO:0055114
PF14_0194,GO:0000375
PF14_0082,GO:0003779
PF13_0109,GO:0006400
PF11_0171,GO:0006888
NA,GO:0020036
PF14_0579,GO:0022625
PFB0595w,GO:0051082
NA,GO:0006797
PFA0110w,GO:0020002
PFL1975c,GO:0005847
PFL1800w,GO:0016020
PF10_0137,GO:0005737
PF07_0078,GO:0016021
PF10_0063,GO:0005515
PFB0515w,GO:0006488
PFF0755c,GO:0016020
PF13_0203,GO:0004386
PFL0530c,GO:0005634
MAL7P1.89,GO:0007018
PFF1230c,GO:0005737
PFE0895c,GO:0008270
PFE0555w,GO:0055114
PF14_0389,GO:0002143
PFF1500c,GO:0016070
PF14_0117,GO:0004519
PFL2020c,GO:0016021
PFL2185w,GO:0020011
PF11_0289,GO:0006351
PF14_0469,GO:0017025
PFB0300c,GO:0007155
PFI1635w,GO:0051258
PFI0625c,GO:0006350
MAL8P1.12,GO:0005737
PFA0565c,GO:0005524
PF08_0042,GO:0005524
PFC0701w,GO:0003735
PF13_0053,GO:0031902
PFC0005w,GO:0009405
PFL1345c,GO:0003824
PFB0745w,GO:0016020
PF11_0426,GO:0046961
PF14_0190,GO:0005524
PF11_0117,GO:0006260
PF07_0125,GO:0003723
PF14_0232,GO:0009062
PF14_0364,GO:0006379
PFE0260w,GO:0016021
MAL8P1.131,GO:0006355
PFE0470w,GO:0004519
PFL2180w,GO:0005840
PF10_0374,GO:0007276
PF14_0678,GO:0097619
PFF0015c,GO:0020002
PFF1575w,GO:0020013
PFL1525c,GO:0005681
PFE0160c,GO:0005681
PF14_0206,GO:0008233
PFE0160c,GO:0005634
PF11_0229,GO:0005789
PF11_0175,GO:0019538
PF11_0097,GO:0048037
PFI0515w,GO:0016192
PFL0020w,GO:0020013
PF11_0381,GO:0051604
PF11_0340,GO:0016021
PF14_0560,GO:0045145
PF11_0341,GO:0005634
PF14_0081,GO:0005524
MAL13P1.146,GO:0003876
MAL13P1.4,GO:0020035
PFE0340c,GO:0008233
MAL13P1.255,GO:0008168
PF07_0079,GO:0022625
PF13_0034,GO:0046961
PF11_0437,GO:0003735
PF10_0187,GO:0006412
PFI1625c,GO:0006508
PFI0020w,GO:0020002
PF07_0003,GO:0020003
PFE1075c,GO:0006353
PF07_0016,GO:0003779
PF10_0062,GO:0006355
PFF1420w,GO:0020005
PFA0310c,GO:0000166
PF11_0192,GO:0043982
PF13_0188,GO:0006512
PFB0340c,GO:0050776
PF14_0232,GO:0006635
PF08_0001,GO:0020011
PFI0705w,GO:0000166
PF14_0399,GO:0003924
PFI0705w,GO:0022857
PF13_0173,GO:0006413
