k	acc
9	0.777529346003
14	0.788289547233
19	0.793646357369
24	0.797652319732
29	0.800447177194
34	0.802729644121
39	0.804320051106
44	0.805652599217
49	0.806471647724
54	0.807098937954
59	0.807561359825
64	0.807946711384
69	0.808294276992
74	0.80859219037
79	0.808850381964
84	0.80904136389
89	0.809160556341
94	0.809266505186
99	0.809376011297
