k	acc
9	0.654116819141
14	0.655408970976
19	0.658067542214
24	0.662122944332
29	0.666455607148
34	0.668640440875
39	0.670201005025
44	0.67189904586
49	0.673454232784
54	0.67476872208
59	0.675620363264
64	0.676330060091
69	0.676687050165
74	0.677244290344
79	0.677703780133
84	0.678171785345
89	0.678770949721
94	0.679225372755
99	0.679539395735
