PlasmoDBID	5-Fluorouracil	Proguanil	MMS	Artemisinin	Doxycycline	Atovaquone	Chloroquine	Chloramphenicol	Tafenoquine	Methotrexate	Geldanamycin	Rapamycin	E-64	Nelfinavir	Epoxomicin	Cerulenin	PPMP	z-Val-Asp	Fosmidomycin	Apicidin	JQ1	Dideoxyadenosine	Curcumin	Olomucine	Fenofibrate	SJ140722	SJ119930	SJ194935	SJ292024	SJ77572	Vincristine
NON_CODING_00051	0.854271137	NA	1.021079383	0.732313722	1.42308192	1.419881728	1.044768722	0.980418408	0.940439869	0.620193719	1.023452254	0.568361233	NA	0.977043171	1.339013192	1.547248683	0.870409607	1.005837411	0.906554211	0.887925768	0.91604407	0.548926366	2.043487832	1.059427343	0.801937508	0.904062874	0.758010735	0.875338847	0.910479745	0.717246744	0.956283853
PF14_0704	1.034933734	0.997080578	1.068085143	1.085185745	1.045956898	1.014340866	0.992797556	0.815186461	1.045276207	1.002472168	1.000818523	1.223253715	1.084925997	1.024510441	0.796632811	0.785065173	0.94468124	0.928750628	0.990812913	1.119571909	0.998757721	1.137834278	0.894755763	0.924201336	0.923622285	0.998963593	0.82292056	0.949796951	1.214415722	0.786204096	0.97782855
MAL13P1.310	0.975236726	1.057091798	0.877898311	1.025290563	1.094008749	1.023911781	0.916933211	1.057582176	0.982774917	0.982415648	1.056117379	0.93596725	0.919737577	0.992038508	0.976513707	1.181982239	1.042189249	1.102441954	1.078396336	0.94416615	1.002353947	0.75702577	1.122589679	1.044761818	0.908065688	0.915240342	0.826484389	0.918647773	1.085757257	0.925786177	0.899900929
MAL7P1.201	0.945417499	0.967486684	0.982291869	1.120942411	0.935170464	0.940245235	0.93544918	1.162446004	0.934248729	0.953941515	1.032835955	0.815046809	0.81215619	0.841347785	1.109868077	1.200131235	1.144998028	1.143447607	1.062765929	0.974324793	0.979154232	0.845689733	1.203964335	0.975971682	0.928739102	0.925489248	1.101020098	0.961097952	0.83542534	0.922664861	0.934980456
PFD0462w	0.983306168	1.005695112	0.928084403	0.982647965	1.017528527	1.016868354	0.973112131	1.050739312	1.003513626	0.986885151	0.983462923	0.944156553	0.95469182	0.968812271	1.010138038	1.134963207	1.001005016	1.046217905	1.02835599	1.003694457	0.972661431	0.898329767	0.923425907	1.016977454	0.991826844	0.893136789	0.971070212	0.964443168	1.030183206	0.931359022	1.01137429
PFF1400w	0.994705708	0.991156597	1.093876768	0.96569978	1.045153114	1.069332705	1.087129014	0.751580338	1.067808064	0.892959239	0.971280719	0.822650819	0.940782331	0.887193905	1.299944858	0.923396488	0.846939894	0.814076918	0.803682179	1.044952673	0.968226612	0.936942129	1.650133861	0.887047529	0.913037113	0.978954675	1.084253296	1.027135241	0.788534439	1.005394433	1.074404008
PF10_0007	0.842987045	1.191077414	1.557134003	0.847864674	0.810418018	0.901917083	0.694422345	1.137891707	0.822274873	1.044227211	0.958794287	0.625115385	0.734757316	0.822193585	1.202836195	1.330447894	1.14221714	1.29878863	1.060029781	0.883212324	0.872774971	0.574930103	2.215828158	1.04982842	0.834049085	1.176838798	0.792025289	0.821984097	0.908916396	0.68972584	0.781815131
PF14_0625	0.882331569	1.162472648	1.155138221	0.887862441	1.033445508	0.963113338	0.95700422	1.037930011	0.832280981	0.910069758	1.037377156	0.500513028	0.827431642	0.999715504	1.532204625	1.387748368	0.843890919	1.078269788	0.94493857	0.906929081	0.829463707	0.505779948	1.958681454	1.134007215	0.859262771	0.974568766	0.96949363	0.853572631	0.871679062	0.747565387	1.042364128
PFL0565w	0.946518226	0.976526867	0.787909283	0.926973614	1.085921174	1.105728606	1.066590997	1.108764855	1.096263228	0.973729309	1.005504132	1.28442347	1.004308491	1.126352563	0.800104791	0.694722189	1.013035653	0.885795444	0.989773492	0.973884717	1.03994212	1.182599767	0.699544422	0.853033201	1.032766703	0.973490951	0.942947822	0.96837904	1.075549057	0.970555949	1.033697873
PFA0650w	0.942083549	1.113977469	1.325139053	1.001249965	0.710905797	0.768320534	0.704735118	1.191269332	0.696963206	1.071046418	0.878975719	0.601578188	0.699248214	0.930712558	1.152876505	1.297327794	1.227884025	1.347374941	1.242807184	0.963401609	0.999124695	0.724902726	1.301726102	1.073838965	0.868994873	0.990885539	1.253178003	0.966953731	0.733351581	1.007027822	0.837205002
PF08_0053	0.948215839	0.944340061	0.795132932	1.008696158	1.272135505	1.119825218	1.073465157	0.817891269	1.163681354	1.028450249	1.062627534	0.978238397	0.890767323	1.118481716	0.944350305	1.113997602	0.864574149	0.862524925	0.90449629	0.874478194	0.983356756	0.774446773	0.900312019	0.946480368	1.327465056	0.823262738	0.933911617	1.005460138	1.155318802	1.061788861	0.925909408
PFL0555c	1.002300501	1.020611874	1.00899895	0.958820149	1.090188044	1.033116665	1.025964125	0.913009244	0.998254877	0.991223042	1.013404388	1.062396175	0.880352469	1.074083833	0.978503081	0.989027302	0.917104284	0.978986528	0.980743384	0.977812907	1.001732953	0.988976294	0.946762404	0.93123089	1.056642819	1.009659015	0.863803711	0.934558897	1.105810726	0.888237797	1.001289946
PF14_0655	1.026923929	0.968584619	0.943302962	1.044059299	0.967274486	1.000901456	1.045760026	1.037310754	1.003082508	1.02087826	1.023428685	1.221402191	1.118714879	0.94020199	0.778661996	0.800777931	1.108071317	0.966981811	1.020882285	0.925921542	0.976738841	1.188960384	0.418138912	0.935948045	1.0882695	0.961926756	0.968541613	1.041207048	0.978343147	1.08707337	1.015302503
PF13_0167	0.921401312	1.016728417	1.052862958	1.006446416	1.083288295	1.030584721	0.967582866	0.994939157	0.97249175	0.970359525	1.018258395	1.210057728	0.995254912	1.047132277	0.884232246	0.855801553	0.889445924	0.82594624	0.866767198	1.100045708	1.060841488	0.956499443	0.77967608	0.851857866	1.325180198	0.940823468	0.92475266	0.974764535	1.060518292	0.985929303	1.052770783
PFC1010w	0.850812091	1.04885566	1.228553374	0.827722855	1.04322441	0.72688483	0.675567341	1.66898085	0.734715277	0.878886374	0.986209947	0.620060118	0.697404559	0.926672552	1.17552312	1.300879391	1.048599319	1.179986419	1.059150976	0.846028984	0.881366885	0.615152264	1.701346265	1.042164183	1.241254923	0.962670948	1.165996889	0.924171647	0.821198304	0.890296707	0.852767778
PFL1490w	1.026379765	1.018245501	1.032571065	0.95762031	1.021406378	1.0298272	1.010474496	0.930964386	1.002063009	0.978457089	0.988121534	1.000650167	0.89218329	1.030246338	0.958200457	0.996800878	0.965695996	0.996535882	1.025032095	1.018476295	1.012029969	1.01769489	0.978922526	0.936867914	0.965828015	0.981577322	0.889489438	0.945913809	1.146418435	0.876457504	0.991564856
MAL13P1.173	0.901833512	1.189361801	1.168509655	0.972297198	0.884085642	0.871506315	0.761656867	1.224739278	0.836855889	0.925142423	0.92897426	0.498700257	1.22102071	0.954809963	1.161131423	1.323238869	0.858611594	1.594171567	1.00499871	1.249438255	0.925029816	0.675526824	1.442661278	1.024375707	0.752510942	0.854400627	0.999213296	0.922546258	0.979909279	0.744348875	0.770521828
PF10_0064	1.03462769	1.001364807	0.775637257	1.006442034	0.992103177	0.876516385	0.992540917	1.224815152	0.923350945	1.015774288	0.955906183	0.688018824	0.951390961	0.855811738	1.239077472	1.277695132	1.008065998	1.056671101	1.041036418	0.873225945	0.936787234	0.73021734	1.424458624	1.061083413	0.92554604	0.960239178	1.08402554	0.966892236	0.792233136	0.913701849	1.035868651
PF14_0074	0.881374071	0.957744634	0.969048482	0.740088955	0.952224842	0.964544339	0.698206393	1.670576533	0.81702617	0.884911187	1.016942967	0.694342465	0.91549487	0.895911777	1.13074289	1.312967659	1.051816251	1.192210896	1.105253455	0.897345054	0.891407504	0.865783969	1.396501764	1.088925256	0.997092054	0.942001277	0.937171702	0.930074843	1.013814217	1.011270552	0.797811254
PF10_0137	0.814268102	1.220778478	1.336060548	1.037327789	0.849135896	0.918777645	0.937226241	1.111105637	0.748317039	0.954499898	0.996702508	0.588464934	0.813726138	0.924914316	1.209392806	1.192207324	0.855571412	0.965862818	0.871133243	0.993095448	0.939301558	0.651785221	2.109508706	0.974286239	0.845917297	0.925954206	1.139767658	1.026357997	0.809847458	0.990730878	0.86791315
PF14_0638	0.931433862	0.949250926	1.387948516	0.856903978	0.979410878	0.869638603	0.839576746	1.241401429	0.897320026	0.844610099	1.015403004	0.64181469	0.853390377	0.846125038	1.246192524	1.272703905	1.111174284	1.148654572	1.096204078	0.893097538	0.96163395	0.769085907	1.771728159	1.0447137	0.843287867	0.940821842	0.895986703	0.912670596	0.917006428	0.748692651	0.891414678
PFL1400c	1.019227838	0.941704127	1.027300104	1.038103072	0.880577119	1.086160243	1.015363632	0.995546	1.018798729	0.985710071	0.983332517	1.145620348	0.848066523	0.844086056	1.033120899	0.667706072	0.983043865	0.868637975	0.925661965	1.261268122	1.000648664	1.378608251	1.113424614	0.826279656	0.90424118	0.968886064	0.847177872	0.928736327	1.071112092	0.877988327	1.13307835
MAL13P1.58	1.003070452	0.966547022	1.289367795	1.077546639	1.291395222	0.833791345	0.887980371	0.894970727	1.058458509	0.916360392	0.910532791	0.724159366	0.790992665	0.806179062	1.292457305	1.237314065	1.187716791	1.3765778	1.101185289	0.988173887	0.923715951	0.848211669	1.20090897	0.962325879	0.82095274	0.891944755	0.992682728	0.89728318	0.868787281	0.718277692	0.859031856
PFE1410c	0.808799309	1.142677656	1.301358042	0.792744448	0.943354133	0.93517016	0.719142588	1.580245151	0.740945217	0.870888103	1.071392666	0.630597138	0.8314559	1.044338233	1.064548116	1.335175564	1.033016314	1.168861723	1.123641221	0.942988136	0.920573173	0.617231403	1.82524332	1.097915494	0.810586763	0.935023193	0.798672717	0.877373519	1.083356388	0.791379458	0.779330866
PF11_0356	0.967067033	0.992338879	0.988971776	0.966484938	1.146946214	1.071981945	1.002212038	0.734738654	1.056089703	1.221134085	1.027106163	1.174819898	0.816610297	0.988381851	0.790987714	0.842993098	0.852004275	0.841538088	0.910570491	1.056623542	1.067663509	1.077975424	1.198702972	0.82803829	0.992748719	0.994890572	0.960981929	0.972954696	1.128017346	0.99532471	0.951091778
PFA0645c	1.174635038	NA	0.997947239	0.690700915	NA	0.888179242	0.873830489	0.758502646	1.187941867	1.386600204	1.159749366	1.310492711	1.173285775	1.061179728	0.973645888	0.742303695	0.723594581	0.696345546	0.763696238	1.025395532	1.030699122	0.920134945	1.268225822	0.946981716	1.142329751	0.877509859	0.764125067	1.053591338	0.967432706	0.733541111	1.349910918
PFL1810w	0.945643248	0.962255624	1.054243867	1.021138857	0.985983133	0.889595987	1.00044832	1.22354097	0.920737835	0.974844352	0.990164663	0.87053133	1.089441136	1.105895965	1.207597036	1.234382459	0.84671045	0.907229274	0.883585156	1.031964638	0.860892759	0.707017467	1.203866653	1.03042045	1.140552343	0.944662368	0.751072682	0.883807506	1.024444702	0.835648279	1.088965704
MAL8P1.141	0.950388785	1.016202244	1.010286818	1.041734533	0.997372522	0.993075684	0.939667491	1.088051598	0.949282246	1.010259889	1.052707164	0.849018606	0.77117406	1.101579035	0.996687575	1.151122544	1.164584937	1.248316495	1.242722672	0.85389539	1.026439136	0.732152173	1.087080305	1.067506293	0.828021478	0.91871253	0.844918336	0.872230371	1.132765066	0.861808434	0.817083272
PF11_0267	0.905243015	0.968865202	1.135105135	0.797534635	0.911247498	0.845761903	0.851612802	1.393384903	0.834407885	0.908407368	1.017342861	0.638985235	0.891140218	1.013697506	1.28479207	1.226629357	1.079306054	1.171742827	1.082672854	0.843060076	0.900075292	0.761357769	1.274026682	1.085499628	0.854602726	1.035461021	0.906327304	1.008627384	1.042838138	0.925509204	1.021126742
PF14_0388	0.957181917	1.049086281	1.000769216	0.911293563	0.952227749	1.011731964	1.030782478	0.98974218	0.898919518	0.938599978	1.007319047	0.92321872	0.986436895	1.108182584	1.361325042	0.984485019	0.819705426	0.86351192	0.857208678	1.097243632	0.8622242	0.823683903	1.643630333	0.933027282	0.977956557	1.030275412	0.737794115	0.90568545	1.163804227	0.788138325	1.000973049
MAL8P1.80	0.878004205	1.264731635	1.252108837	0.883802122	0.952663689	1.081513601	0.969867035	0.989608603	0.970050954	0.812849939	1.076773764	0.760464235	1.110351096	0.859507987	1.382154897	1.100218174	0.800120926	0.882114661	0.819090236	0.88356895	1.018717043	0.701436525	1.738315788	0.892189501	0.98978352	0.915671163	0.988186079	0.95848265	0.86434535	0.987810672	0.830756681
PFL2200w	1.025534604	0.96521801	1.159702219	1.106439682	1.097042955	1.077069394	1.034985796	0.695643278	1.030467698	1.002980708	1.062881116	1.086277915	1.138910384	0.903606528	0.802772295	0.807067357	0.882598139	0.921517045	0.94205813	0.942413203	1.004997209	1.004743541	0.980369875	0.813592023	0.976452031	1.060992391	0.908167088	1.018196138	1.144777111	1.019096684	0.998654383
PF10_0348	0.942289984	1.157257129	1.039021787	0.925110997	0.896261288	0.918315537	0.787531533	1.251017713	0.837379819	1.005523077	1.008460974	0.818548039	0.966570603	0.974663159	1.122856173	1.184693106	0.931736407	0.995184219	0.960072513	0.954885615	1.005776672	0.801344303	1.267284055	1.029161955	0.933546188	0.958498824	0.947489604	0.998084687	1.026356094	1.017573416	0.952590068
PFF0095c	0.973942686	1.022425289	0.978026634	0.983807541	1.004957937	1.126529426	0.933786175	1.00410305	0.998959823	1.011776528	1.011338937	0.808355816	0.81682837	0.989731301	1.157899973	1.225491014	1.053524038	1.151830341	1.136296641	0.993782627	0.976093464	0.763566063	1.180952914	1.025372483	0.871593271	0.925090537	0.865031898	0.90449512	1.006675299	0.812157824	0.900515173
PF14_0031	0.991324719	1.078508261	1.475643171	0.798336297	0.835504091	0.921059083	0.790376349	1.266354254	0.697260611	0.892465304	1.020480139	0.543550085	0.726388803	0.785247805	1.40794017	1.354337958	1.014239706	1.222294878	1.090808791	0.87910528	0.899719615	0.598226061	1.910117536	1.161142948	0.817100768	0.921988463	1.170729823	0.890598568	0.900407778	0.708474026	0.845090168
MAL13P1.410	0.882640888	0.866047271	0.89330822	0.8717806	0.996986668	0.766388257	0.975085335	1.517941712	0.866515867	0.874107843	1.032421503	1.174631072	0.936326176	1.071376828	1.130530889	1.135043818	0.890806181	1.06607703	0.872604696	1.021989391	0.836674619	1.116911135	1.191731757	1.049016348	1.051917719	1.004713679	0.733366424	0.837647811	1.274709204	0.778776877	0.895992499
MAL13P1.230	0.821098714	0.942462472	1.19954268	0.854766855	0.975997228	0.90257367	0.850062636	1.404047479	0.83462369	0.814725332	1.000595004	0.676975085	0.975248573	0.898829589	1.239044453	1.385979645	1.083778194	1.309222409	1.179031807	0.973593388	0.936645442	0.606162776	1.260334623	1.101583494	0.88277073	0.92421248	1.047596399	0.926526196	0.960900328	0.782108005	0.862617102
PF11_0290	0.97624837	0.937666107	1.050972382	0.975695659	1.022360372	0.913564297	0.922857486	1.170555227	1.013312283	0.974109216	1.037787585	0.707527137	0.855312776	0.962071563	1.279568591	1.244244233	1.052408988	1.172047521	1.090256967	1.030519587	0.911007949	0.738141701	1.033760444	1.038467868	0.91538996	0.968750726	0.840580861	0.884929348	1.119841451	0.81019204	0.963393661
PF14_0358	0.927995003	0.918975263	1.151344282	0.990548584	1.061897956	1.022127318	1.147325044	0.927336102	1.074357513	0.900850364	1.006360649	0.821362818	0.907702667	1.077909191	1.173029077	1.118843261	0.907706535	0.925157366	0.923159799	0.858763883	0.900698992	0.780193549	1.399431047	0.954383839	0.795377313	0.829661315	0.938927353	1.039763543	1.201070149	1.091741437	0.838806198
PF14_0596	0.929305616	1.044867776	1.140196675	0.748073489	0.857167559	0.930180254	0.723109732	1.786862339	0.638777881	0.829419218	0.974966869	0.408480273	0.758274508	0.87759903	1.27891489	1.515607106	0.999294333	1.190222933	1.121872274	0.841858761	0.890327468	0.522262537	1.919700153	1.122446215	1.296466871	0.92268731	1.062690049	0.824451127	0.889680568	0.718511875	0.848430829
PF13_0191	0.99950674	1.032983786	0.930634664	1.063837065	1.005134325	0.990275746	0.975606834	1.028183394	1.012853365	1.03664136	0.983072874	0.862965161	0.856801698	0.948086468	1.155554219	1.025141634	1.090214088	1.208878726	1.199109422	1.00986035	0.951134734	0.785545677	0.808569149	1.000038677	0.958498071	0.940745867	1.043785242	0.960438274	0.998443893	0.859219319	0.89070521
PFL2575c	1.061498388	0.765661764	1.340914484	0.810109385	0.941150365	0.927157385	0.775721465	1.015261838	1.197948236	1.179146109	1.104423777	0.617225312	0.705960942	0.822710312	1.489726918	1.072088013	0.988823737	1.172969321	1.04795316	0.792233872	0.865749707	0.656514185	2.631414794	0.924067997	0.652710445	0.901114399	0.905107899	0.863430116	1.038861756	0.675956158	0.668793117
PF13TR006	1.040966163	1.002633771	0.902250478	1.044046035	1.015147724	1.086755573	1.077593041	0.832715563	1.038734511	1.040545124	1.051741424	1.177875816	1.102724258	0.887659421	1.245693439	0.656404994	0.893408942	0.773818642	0.821991796	0.9802462	0.995852517	0.958963307	0.856852078	0.853975277	1.047777691	1.034771028	0.934461723	1.01277415	1.025029856	1.060112313	1.158345438
PF11_0067	1.028093157	1.021096014	0.996320302	1.038266964	1.028883081	0.96664997	0.991003945	0.939322418	1.040948951	1.0307913	1.036203997	1.295274422	1.205788397	1.007365486	0.804561316	0.748780163	0.957595	0.818019589	0.92279067	0.980306076	1.005645773	1.152239554	0.462045941	1.012743198	1.131422163	1.009982393	0.872511393	0.961634735	1.08464014	0.986808855	1.073855465
PF14TR009	0.997435977	0.967047292	0.928153112	0.849361261	1.002353935	1.005248092	1.003381461	1.141989478	1.026422697	0.933404316	0.923098381	1.069226134	1.125922086	0.97767242	0.882425133	1.112691511	0.999558087	0.88784625	0.917224157	1.029980397	0.937104268	0.779841935	1.009687011	0.996661834	0.973095754	0.942730642	0.9721559	0.942885896	1.217825136	1.111588738	0.947363708
PFL1495w	0.906597496	1.081562657	1.129160669	0.926734759	1.014998563	1.083691415	1.012336813	0.991207625	0.901865039	0.845931458	0.975073804	0.890165359	0.92048978	1.075670797	0.997974638	1.03541386	0.978548453	1.00585904	0.964554375	1.144981246	1.055053465	0.889943476	1.116221853	0.91110804	0.994807622	0.992546817	0.92307859	0.973565806	0.988117264	0.945834071	0.937885453
