k	acc
9	0.738542365303
14	0.744523915959
19	0.748714892349
24	0.75248631132
29	0.755665310866
34	0.757933551847
39	0.759569645309
44	0.760908430639
49	0.762073846001
54	0.762983820506
59	0.763677549113
64	0.764367387985
69	0.764899523834
74	0.765435448857
79	0.765907364093
84	0.766376155759
89	0.766802939282
94	0.767188508715
99	0.767480564083
